SYMBOL,NAME
IDBI,Idbi Bank Ltd
DCW,Dcw Ltd
DHAMPURSUG,Dhampur Sugar Mills Ltd
DIAMINESQ,Diamines & Chemicals Ltd
ELANTAS,Elantas Beck India Ltd
DRREDDY,Dr Reddys Laboratories Ltd
EIDPARRY,Eid Parry India Ltd
PGHL,Procter & Gamble Health Ltd
ELECTCAST,Electrosteel Castings Ltd
ESABINDIA,Esab India Ltd
EPL,Epl Ltd
ESTER,Ester Industries Ltd
FGP,Fgp Ltd
PHCAP,Ph Capital Ltd
FINCABLES,Finolex Cables Ltd
COCKERILL,John Cockerill India Ltd
UFLEX,Uflex Ltd
FOSECOIND,Foseco India Ltd
GOLDENTOBC,Golden Tobacco Ltd
GANESHBE,Ganesh Benzoplast Ltd
METROGLOBL,Metroglobal Ltd
GTL,Gtl Ltd
GODFRYPHLP,Godfrey Phillips India Ltd
GODREJIND,Godrej Industries Ltd
KANSAINER,Kansai Nerolac Paints Ltd
GOODRICKE,Goodricke Group Ltd
GOODYEAR,Goodyear India Ltd
GTNINDS,Gtn Industries Ltd
GHCL,Ghcl Ltd
GFLLIMITED,Gfl Ltd
GLFL,Gujarat Lease Financing Ltd
HCL-INSYS,Hcl Infosystems Ltd
HDFCBANK,Hdfc Bank Ltd
HEROMOTOCO,Hero Motocorp Ltd
HFCL,Hfcl Ltd
HSCL,Himadri Speciality Chemical Ltd
HCC,Hindustan Construction Company Ltd
HINDOILEXP,Hindustan Oil Exploration Company Ltd
AGI,Agi Greenpac Ltd
HINDZINC,Hindustan Zinc Ltd
NDLVENTURE,Ndl Ventures Ltd
HMT,Hmt Ltd
PRAGBOS,Prag Bosimi Synthetics Ltd
HLVLTD,Hlv Ltd
IGPL,Ig Petrochemicals Ltd
INDIAGLYCO,India Glycols Ltd
INDLEASE,India Lease Development Ltd
MARGOFIN,Margo Finance Ltd
INDORAMA,Indo Rama Synthetics (India) Ltd
INFY,Infosys Ltd
INGERRAND,Ingersoll-Rand (India) Ltd
ITHL,International Travel House Ltd
IONEXCHANG,Ion Exchange India Ltd
SUNDROP,Sundrop Brands Ltd
JISLJALEQS,Jain Irrigation Systems Ltd
JASCH,Jasch Industries Ltd
JINDALPOLY,Jindal Poly Films Ltd
JSWSTEEL,Jsw Steel Ltd
KAJARIACER,Kajaria Ceramics Ltd
KAKATCEM,Kakatiya Cement Sugar & Industries Ltd
KSL,Kalyani Steels Ltd
WHIRLPOOL,Whirlpool Of India Ltd
KGDENIM,Kg Denim Ltd
KINETICENG,Kinetic Engineering Ltd
KIRLOSBROS,Kirloskar Brothers Ltd
KIRLOSIND,Kirloskar Industries Ltd
KIRLFER,Kirloskar Ferrous Industries Ltd
ENVAIREL,Envair Electrodyne Ltd
KOTAKBANK,Kotak Mahindra Bank Ltd
KSB,Ksb Ltd
LGBBROSLTD,Lg Balakrishnan & Bros Ltd
TRENT,Trent Ltd
LMW,Lmw Ltd
LICHSGFIN,Lic Housing Finance Ltd
LUPIN,Lupin Ltd
LYKALABS,Lyka Labs Ltd
RAMCOCEM,The Ramco Cements Ltd
HYBRIDFIN,Hybrid Financial Services Ltd
MAFATIND,Mafatlal Industries Ltd
MAHSEAMLES,Maharashtra Seamless Ltd
MAHSCOOTER,Maharashtra Scooters Ltd
MAJESAUT,Majestic Auto Ltd
MANALIPETC,Manali Petrochemicals Ltd
BARODARY,Baroda Rayon Corporation Ltd
MFSL,Max Financial Services Ltd
MIDINDIA,Mid India Industries Ltd
MIRCELECTR,Mirc Electronics Ltd
CENTENKA,Century Enka Ltd
MODTHREAD,Modern Thread India Ltd
LORDSCHLO,Lords Chloro Alkali Ltd
SPICEJET,Spicejet Ltd
MOREPENLAB,Morepen Laboratories Ltd
MRF,Mrf Ltd
HEIDELBERG,Heidelbergcement India Ltd
NCC,Ncc Ltd
VEDL,Vedanta Ltd
NAHARSPING,Nahar Spinning Mills Ltd
NAPEROL,Naperol Investments Ltd
GRASIM,Grasim Industries Ltd
NIITLTD,Niit Ltd
JAYKAY,Jaykay Enterprises Ltd
NIRLON,Nirlon Ltd
ONGC,Oil And Natural Gas Corporation Ltd
OILCOUNTUB,Oil Country Tubular Ltd
ORIENTHOT,Oriental Hotels Ltd
OSWALAGRO,Oswal Agro Mills Ltd
INDSUCR,Indian Sucrose Ltd
PANCM,Panyam Cements & Mineral Industries Ltd
RELIANCE,Reliance Industries Ltd
PILITA,Pil Italica Lifestyle Ltd
RAYMOND,Raymond Ltd
PIDILITIND,Pidilite Industries Ltd
PIXTRANS,Pix Transmissions Ltd
BIRLACORPN,Birla Corporation Ltd
SURYAROSNI,Surya Roshni Ltd
PRIMESECU,Prime Securities Ltd
PRSMJOHNSN,Prism Johnson Ltd
RAIN,Rain Industries Ltd
PRUDMOULI,Prudential Sugar Corporation Ltd
AMJLAND,Amj Land Holdings Ltd
PUNJCOMMU,Punjab Communications Ltd
RSWM,Rswm Ltd
RAJSREESUG,Rajshree Sugars & Chemicals Ltd
RALLIS,Rallis India Ltd
RAMANEWS,Shree Rama Newsprint Ltd
RAMAPPR-B,Rama Paper Mills Ltd
RAPICUT,Rapicut Carbides Ltd
WELSPLSOL,Welspun Specialty Solutions Ltd
RUBFILA,Rubfila International Ltd
PATANJALI,Patanjali Foods Ltd
SALORAINTL,Salora International Ltd
SAMTELIN,Samtel India Ltd
JINDALSAW,Jindal Saw Ltd
JKLAKSHMI,Jk Lakshmi Cement Ltd
SHREECEM,Shree Cement Ltd
SKPMIL,Shree Krishna Paper Mills & Industries Ltd
SILVERLINE,Silverline Technologies Ltd
TATAPOWER,Tata Power Company Ltd
SPMLINFRA,Spml Infra Ltd
SUNDRMFAST,Sundram Fasteners Ltd
SUNFLAG,Sunflag Iron & Steel Company Ltd
SPLPETRO,Supreme Petrochem Ltd
SWARAJENG,Swaraj Engines Ltd
TATAELXSI,Tata Elxsi Ltd
ACC,Acc Ltd
THERMAX,Thermax Ltd
TIRUMALCHM,Thirumalai Chemicals Ltd
THOMASCOOK,Thomas Cook (India) Ltd
TIMEX,Timex Group India Ltd
TOKYOPLAST,Tokyo Plast International Ltd
TORNTPHARM,Torrent Pharmaceuticals Ltd
TPINDIA,Tpi India Ltd
TRANSCHEM,Transchem Ltd
AMBUJACEM,Ambuja Cements Ltd
UTLINDS,Utl Industries Ltd
UNIENTER,Uniphos Enterprises Ltd
VHL,Vardhman Holdings Ltd
HINDALCO,Hindalco Industries Ltd
WSTCSTPAPR,West Coast Paper Mills Ltd
HOCL,Hindustan Organic Chemicals Ltd
MPILCORPL,Mpil Corporation Ltd
PASUPTAC,Pasupati Acrylon Ltd
TEAM24,Team24 Consumer Products Ltd
PGHH,Procter & Gamble Hygiene And Health Care Ltd
MUKANDLTD,Mukand Ltd
BBOX,Black Box Ltd
UCAL,Ucal  Ltd
HARRMALAYA,Harrisons Malayalam Ltd
FEDERALBNK,Federal Bank Ltd
TATASTEEL,Tata Steel Ltd
SKFINDIA,Skf India Ltd
ASHOKLEY,Ashok Leyland Ltd
CUMMINSIND,Cummins India Ltd
TATACOMM,Tata Communications Ltd
ABBOTINDIA,Abbott India Ltd
BAJAJHLDNG,Bajaj Holdings & Investment Ltd
BHARATFORG,Bharat Forge Ltd
ESCORTS,Escorts Kubota Ltd
HINDMOTORS,Hindustan Motors Ltd
LT,Larsen & Toubro Ltd
M&M,Mahindra & Mahindra Ltd
BOSCHLTD,Bosch Ltd
PREMIER,Premier Ltd
BPCL,Bharat Petroleum Corporation Ltd
SIEMENS,Siemens Ltd
TMPV,Tata Motors Passenger Vehicles Ltd
VOLTAS,Voltas Ltd
GESHIP,Great Eastern Shipping Company Ltd
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corporation Ltd
EXCELINDUS,Excel Industries Ltd
GRWRHITECH,Garware Hi-Tech Films Ltd
GLAXO,Glaxosmithkline Pharmaceuticals Ltd
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd
NOVARTIND,Novartis India Ltd
SANOFI,Sanofi India Ltd
PFIZER,Pfizer Ltd
GSFC,Gujarat State Fertilizers & Chemicals Ltd
HINDUNILVR,Hindustan Unilever Ltd
JSWDULUX,Jsw Dulux Ltd
NOCIL,Nocil Ltd
TATACHEM,Tata Chemicals Ltd
TNPETRO,Tamilnadu Petroproducts Ltd
ZUARIIND,Zuari Industries Ltd
NESTLEIND,Nestle India Ltd
TATACONSUM,Tata Consumer Products Ltd
ASIANPAINT,Asian Paints Ltd
BRITANNIA,Britannia Industries Ltd
COLPAL,Colgate Palmolive (India) Ltd
EIHOTEL,Eih Ltd
INDHOTEL,Indian Hotels Company Ltd
CASTROLIND,Castrol India Ltd
ITC,Itc Ltd
APOLLOTYRE,Apollo Tyres Ltd
CEATLTD,Ceat Ltd
MODIRUBBER,Modi Rubber Ltd
FINPIPE,Finolex Industries Ltd
SUNRINV,Sunrise Industrial Traders Ltd
ZGOLDINV,Gold Rock Investments Ltd
DSINVEST,Dalal Street Investments Ltd
CENTRUM,Centrum Capital Ltd
KARTKIN,Kartik Investments Trust Ltd
TCIFINANCE,Tci Finance Ltd
ANTARIKSH,Antariksh Industries Ltd
IITL,Industrial Investment Trust Ltd
INDPRUD,Industrial & Prudential Investment Company Ltd
TATAINVEST,Tata Investment Corporation Ltd
JAYBHCR,Jayabharat Credit Ltd
PRISMX,Prismx Global Ventures Ltd
MOTOGENFIN,Motor & General Finance Ltd
RAPIDIN,Rapid Investments Ltd
WALCHPF,Walchand Peoplefirst Ltd
EENTER,E & E Enterprises Ltd
WHBRADY,Wh Brady & Company Ltd
TECHNVISN,Technvision Ventures Ltd
SHAILY,Shaily Engineering Plastics Ltd
BBTC,The Bombay Burmah Trading Corporation Ltd
BOMBCYC,Bombay Cycle & Motor Agency Ltd
GREAVESCOT,Greaves Cotton Ltd
MULLER,Muller & Phipps India Ltd
SFTL,Springform Technology Ltd
AMALGAM,Amalgamated Electricity Company Ltd
ANANDPROJ,Anand Projects Ltd
INDIANVSH,Indianivesh Ltd
COASTCORP,Coastal Corporation Ltd
CHOWGULSTM,Chowgule Steamships Ltd
GARWAOFFS,Garware Offshore Services Ltd
DHENUBUILD,Dhenu Buildcon Infra Ltd
ASIIL,Asi Industries Ltd
SAGCEM,Sagar Cements Ltd
DECCANCE,Deccan Cements Ltd
MANGLMCEM,Mangalam Cement Ltd
NCLIND,Ncl Industries Ltd
SAURASHCEM,Saurashtra Cement Ltd
SHREDIGCEM,Shree Digvijay Cement Company Ltd
BORORENEW,Borosil Renewables Ltd
LERTHAI,Lerthai Finance Ltd
TRIVENIGQ,Triveni Glass Ltd
NILACHAL,Nilachal Refractories Ltd
ANDHRAPAP,Andhra Paper Ltd
BALKRISIND,Balkrishna Industries Ltd
ORIENTPPR,Orient Paper & Industries Ltd
CITADEL,Citadel Realty And Developers Ltd
ROLLT,Rollatainers Ltd
SESHAPAPER,Seshasayee Paper And Boards Ltd
NATHIND,Nath Industries Ltd
VAPIENTER,Vapi Enterprise Ltd
DCM,Dcm Ltd
ZGAEKWAR,Gaekwar Mills Ltd
FORBESCO,Forbes & Company Ltd
HPCOTTON,Hp Cotton Textile Mills Ltd
UNITEDINT,United Interactive Ltd
JAMSHRI,Jamshri Realty Ltd
KATRSPG,Katare Spinning Mills Ltd
KESORAMIND,Kesoram Industries Ltd
LAKSHMIMIL,Lakshmi Mills Company Ltd
VTL,Vardhman Textiles Ltd
PENINLAND,Peninsula Land Ltd
PASUSPG,Pasupati Spinning & Weaving Mills Ltd
PHOENIXLTD,The Phoenix Mills Ltd
MARATHON,Marathon Nextgen Realty Ltd
RAJABAH,Raja Bahadur International Ltd
RELCHEMQ,Reliance Chemotex Industries Ltd
RUBYMILLS,Ruby Mills Ltd
SIMPLXREA,Simplex Realty Ltd
SWANCORP,Swan Corp Ltd
VICTMILL,Victoria Mills Ltd
ZSVTRADI,Sv Trading & Agencies Ltd
ZSVARAJT,Svaraj Trading & Agencies Ltd
KSHITIJ,Kshitij Investments Ltd
SALSAIN,Shree Salasar Investments Ltd
INDSOYA,Indsoya Ltd
ZODIACVEN,Zodiac Ventures Ltd
VEERENRGY,Veer Energy & Infrastructure Ltd
TILAK,Tilak Ventures Ltd
UNIJOLL,Unijolly Investments Company Ltd
WAGEND,Wagend Infra Venture Ltd
ELCIDIN,El Cid Investments Ltd
MEDIAONE,Mediaone Global Entertainment Ltd
HEALINV,Healthy Investments Ltd
SHRENTI,Shreenath Investment Company Ltd
BANSWRAS,Banswara Syntex Ltd
MODWOOL,Modella Woollens Ltd
MODIPON,Modipon Ltd
SHRIDINE,Shri Dinesh Mills Ltd
SRF,Srf Ltd
SIYSIL,Siyaram Silk Mills Ltd
SWADPOL,Swadeshi Polytex Ltd
SHRAJSYNQ,Shree Rajasthan Syntex Ltd
SHRMFGC,Shree Manufacturing Company Ltd
ZSATYASL,Satyam Silk Mills Ltd
BBL,Bharat Bijlee Ltd
ELPROINTL,Elpro International Ltd
GEE,Gee Ltd
HIRECT,Hind Rectifiers Ltd
NIPPOBATRY,Indo National Ltd
ZENSARTECH,Zensar Technologies Ltd
JYOTI,Jyoti Ltd
JSLINDL,Jsl Industries Ltd
KAYCEEI,Kaycee Industries Ltd
INDOKEM,Indokem Ltd
PANAENERG,Panasonic Energy India Company Ltd
NELCO,Nelco Ltd
PERMAGN,Permanent Magnets Ltd
HIGHENE,High Energy Batteries India Ltd
STDBAT,Standard Batteries Ltd
UNIVCABLES,Universal Cables Ltd
WSI,W. S. Industries (India) Ltd
DLTNCBL,Delton Cables Ltd
LAKSELEC,Lakshmi Electrical Control Systems Ltd
MODULEX,Modulex Construction Technologies Ltd
DELTAMAGNT,Delta Manufacturing Ltd
LONGSPUR,Longspur International Ventures Ltd
RELTD,Ravindra Energy Ltd
EMPOWER,Empower India Ltd
ZMULTIPU,Multipurpose Trading & Agencies Ltd
RIDHISYN,Ridhi Synthetics Ltd
GRANDMA,Grandma Trading & Agencies Ltd
ZARDIINV,Ardi Investments & Trading Company Ltd
SOFTBPO,Softbpo Global Services Ltd
NYSSACORP,Nyssa Corporation Ltd
FLOMIC,Flomic Global Logistics Ltd
KRISHNA,Krishna Ventures Ltd
UNIABEXAL,Uni Abex Alloy Products Ltd
SARDAEN,Sarda Energy & Minerals Ltd
BGWTATO,Bhagwati Autocast Ltd
BOMBWIR,Bombay Wire Ropes Ltd
AZADIND,Azad India Mobility Ltd
INDIANHUME,Indian Hume Pipe Company Ltd
INLCM,Indian Link Chain Manufacturers Ltd
INVPRECQ,Investment & Precision Castings Ltd
INFORTEC,Informed Technologies India Ltd
KAIRA,Kaira Can Company Ltd
ORIENTCER,Orient Ceratech Ltd
NATIONSTD,National Standard (India) Ltd
RATHIST,Rathi Steel & Power Ltd
DUNCANENG,Duncan Engineering Ltd
SANDUMA,Sandur Manganese & Iron Ores Ltd
STOVACQ,Stovec Industries Ltd
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd
ZWELCAST,Welcast Steels Ltd
WMINIMT,Western Ministil Ltd
AUTOAXLES,Automotive Axles Ltd
ATLASCYCLE,Atlas Cycles (Haryana) Ltd
AUTOPRD,Automobile Products Of India Ltd
ACGL,Automobile Corporation Of Goa Ltd
SETCO,Setco Automotive Ltd
TALBROAUTO,Talbros Automotive Components Ltd
ZFSTEERING,Zf Steering Gear India Ltd
SMLMAH,Sml Mahindra Ltd
TIL,Til Ltd
EICHERMOT,Eicher Motors Ltd
JAINEX,Jainex Aamcol Ltd
ALFREDHE,Alfred Herbert India Ltd
VELJAN,Veljan Denison Ltd
DYNAMATECH,Dynamatic Technologies Ltd
GGDPROP,G. G. Dandekar Properties Ltd
GMMPFAUDLR,Gmm Pfaudler Ltd
KIRLPNU,Kirloskar Pneumatic Company Ltd
TULIVE,Tulive Developers Ltd
KPT,Kpt Industries Ltd
LAKSHMIEW,Lakshmi Engineering And Warehousing Ltd
MANUGRAPH,Manugraph India Ltd
HARSHILAGR,Harshil Agrotech Ltd
MONOT,Monotype India Ltd
NESCO,Nesco Ltd
INTEGRAEN,Integra Engineering India Ltd
SEMAC,Semac Construction Ltd
TEXINFRA,Texmaco Infrastructure & Holdings Ltd
WENDT,Wendt (India) Ltd
PSITINFRA,Ps It Infrastructure & Services Ltd
GHVINFRA,Ghv Infra Projects Ltd
RESPONIND,Responsive Industries Ltd
SHYMINV,Shyamkamal Investments Ltd
ZHEMHOLD,Hem Holdings & Trading Ltd
MAHACORP,Maharashtra Corporation Ltd
DOLATALGO,Dolat Algotech Ltd
WESTLIFE,Westlife Foodworld Ltd
ZEEL,Zee Entertainment Enterprises Ltd
ZKOVALIN,Kovalam Investment & Trading Company Ltd
SVPGLOB,Svp Global Textiles Ltd
MULTIIN,Multiplus Holdings Ltd
SKYLMILAR,Skyline Millars Ltd
BIMETAL,Bimetal Bearings Ltd
TAPARIA,Taparia Tools Ltd
BHARATGEAR,Bharat Gears Ltd
BRADYM,Brady & Morris Engineering Company Ltd
LATIMMETAL,La Tim Metal & Industries Ltd
ELECON,Elecon Engineering Company Ltd
GRAUWEIL,Grauer & Weil India Ltd
HIMTEK,Him Teknoforge Ltd
GABRIEL,Gabriel India Ltd
HERCULES,Hercules Investments Ltd
ALGOQUANT,Algoquant Fintech Ltd
IFBIND,Ifb Industries Ltd
SINGERIND,Singer India Ltd
INTLCOMBQ,International Combustion India Ltd
FMGOETZE,Federal-Mogul Goetze (India) Ltd
JOSTS,Josts Engineering Company Ltd
SCHAEFFLER,Schaeffler India Ltd
RANEHOLDIN,Rane Holdings Ltd
ROLCOEN,Rolcon Engineering Company Ltd
SNL,Snl Bearings Ltd
JAIPAN,Jaipan Industries Ltd
MANCREDIT,Mangal Credit And Fincorp Ltd
TRF,Trf Ltd
WPIL,Wpil Ltd
KENNAMET,Kennametal India Ltd
HINDHARD,Hindustan Hardy Ltd
TRITONV,Triton Valves Ltd
SUDAI,Sudal Industries Ltd
PRAKASH,Prakash Industries Ltd
HVL,Hariyana Ventures Ltd
ZPRBHSTE,Prabhu Steel Industries Ltd
ARSHIYA,Arshiya Ltd
GRINDWELL,Grindwell Norton Ltd
LAKPRE,Lakshmi Precision Screws Ltd
STANROS,Stanrose Mafatlal Investments & Finance Ltd
GENESYS,Genesys International Corporation Ltd
ALNATRD,Alna Trading & Exports Ltd
VOLKAI,Kairosoft Ai Solutions Ltd
PARNAXLAB,Parnax Lab Ltd
GOURMET,Gourmet Gateway India Ltd
VIVIDHA,Visagar Polytex Ltd
ISHWATR,Ishwarshakti Holdings & Traders Ltd
TERRAFORM,Terraform Magnum Ltd
APIS,Apis India Ltd
VELOX,Velox Shipping And Logistics Ltd
EMERGENT,Emergent Industrial Solutions Ltd
KANANIIND,Kanani Industries Ltd
GSLTD,Galaxy Supermarket Ltd
ZSARVAMA,Sarvamangal Mercantile Company Ltd
ARIHANTSUP,Arihant Superstructures Ltd
VIKSHEN,Viksit Engineering Ltd
BLISSGVS,Bliss Gvs Pharma Ltd
STYRENIX,Styrenix Performance Materials Ltd
ALEMBICLTD,Alembic Ltd
AMNPLST,Amines & Plasticizers Ltd
ANUHPHR,Anuh Pharma Ltd
MODISONLTD,Modison Ltd
BAYERCROP,Bayer Cropscience Ltd
STARSOURCE,Star Source Multi Trade Ltd
CITURGIA,Citurgia Biochemicals Ltd
SUDARCOLOR,Sudarshan Colorants India Ltd
COROMANDEL,Coromandel International Ltd
DEEPAKNTR,Deepak Nitrite Ltd
DMCC,Dmcc Speciality Chemicals Ltd
FERMENTA,Fermenta Biotech Ltd
GOCLCORP,Gocl Corporation Ltd
JAYCH,Jayshree Chemicals Ltd
KANORICHEM,Kanoria Chemicals & Industries Ltd
KELENRG,Keltech Energies Ltd
KEMP,Kemp & Company Ltd
NITTAGELA,Nitta Gelatin India Ltd
MPAGI,Mp Agro Industries Ltd
AGVENTURES,Ag Ventures Ltd
PBGLOBAL,Pb Global Ltd
PCBL,Pcbl Chemical Ltd
AMAL,Amal Ltd
POLYCHEM,Polychem Ltd
PUNJABCHEM,Punjab Chemicals & Crop Protection Ltd
ZR2,Zr2 Bioenergy Ltd
SADHNANIQ,Sadhana Nitro Chem Ltd
SUDARSCHEM,Sudarshan Chemical Industries Ltd
TECILCHEM,Tecil Chemicals & Hydro Power Ltd
ULTRAMAR,Ultramarine & Pigments Ltd
TRANSPEK,Transpek Industry Ltd
UNICHEMLAB,Unichem Laboratories Ltd
MYSORPETRO,Mysore Petro Chemicals Ltd
ALKYLAMINE,Alkyl Amines Chemicals Ltd
TUTIALKA,Tuticorin Alkali Chemicals And Fertilizers Ltd
ASTRAZEN,Astrazeneca Pharma India Ltd
PRIMO,Primo Chemicals Ltd
TANFACIND,Tanfac Industries Ltd
GUJPETR,Gujarat Petrosynthese Ltd
SWADEIN,Swadeshi Industries & Leasing Ltd
GUJTHEM,Gujarat Themis Biosyn Ltd
SCBL,Saptak Chem And Business Ltd
MAKERSL,Makers Laboratories Ltd
CONTCHM,Continental Chemicals Ltd
JBCHEPHARM,Jb Chemicals & Pharmaceuticals Ltd
IGLFXPL-B,Indo Gulf Industries Ltd
ADVPETR-B,Advance Petrochemicals Ltd
RAJSPTR,Rajasthan Petro Synthetics Ltd
APTPACK,Apt Packaging Ltd
BLUECHIPT,Bluechip Tex Industries Ltd
JAGAJITIND,Jagatjit Industries Ltd
KESARENT,Kesar Enterprises Ltd
TI,Tilaknagar Industries Ltd
EMERALL,Emerald Leisures Ltd
RAVALSUGAR,The Ravalgaon Sugar Farm Ltd
SAKHTISUG,Sakthi Sugars Ltd
WALCHANNAG,Walchandnagar Industries Ltd
IFBAGRO,Ifb Agro Industries Ltd
KFBL,Kothari Fermentation & Biochem Ltd
CAPRO,Caprolactam Chemicals Ltd
GMBREW,Gm Breweries Ltd
RANASUG,Rana Sugars Ltd
PICCASUG,Piccadily Sugar & Allied Industries Ltd
SDBL,Som Distilleries & Breweries Ltd
CJGEL,Cj Gelatine Products Ltd
ASALCBR,Associated Alcohols & Breweries Ltd
THAKKERS,Thakkers Group Ltd
CORAGRO,Coromandel Agro Products & Oils Ltd
FOODSIN,Foods & Inns Ltd
IVP,Ivp Ltd
KLRFM,Kovilpatti Lakshmi Roller Flour Mills Ltd
OLYOI,Olympic Oil Industries Ltd
MLKFOOD,Milkfood Ltd
POLSON,Polson Ltd
SIGNGCL,Signature Green Corporation Ltd
WIPRO,Wipro Ltd
ORIBEVER,Orient Beverages Ltd
DHANUKA,Dhanuka Agritech Ltd
TTKHLTCARE,Ttk Healthcare Ltd
TGVSL,Tgv Sraac Ltd
LIMECHM,Lime Chemicals Ltd
KANPRPLA,Kanpur Plastipack Ltd
TAINWALCHM,Tainwala Chemicals And Plastics (India) Ltd
JAGSNPHARM,Jagsonpal Pharmaceuticals Ltd
KHAICHEM,Khaitan Chemicals & Fertilizers Ltd
UNTTEMI,United Leasing & Industries Ltd
NOL,National Oxygen Ltd
GILLETTE,Gillette India Ltd
WIREFABR,Wires & Fabriks Sa Ltd
ANSALHSG,Ansal Housing Ltd
COMPUPN,Computer Point Ltd
MCCHRLS-B,Mac Charles India Ltd
ADDIND,Addi Industries Ltd
PIONRINV,Pioneer Investcorp Ltd
ASHNOOR,Ashnoor Textile Mills Ltd
UNITECH,Unitech Ltd
VIPIND,Vip Industries Ltd
FIBERWEB,Fiberweb India Ltd
GYFTR,Gyftr Ltd
EASTBUILD,East Buildtech Ltd
MNPLFIN,Manipal Finance Corporation Ltd
BAJAJST,Bajaj Steel Industries Ltd
KIDUJA,Kiduja India Ltd
KEYCORP,Key Corporation Ltd
SHIKHARLETR,Shikhar Leasing & Trading Ltd
GUJHOTE,Gujarat Hotels Ltd
FYNX,Fynx Capital Ltd
RASRESOR,Ras Resorts & Apart Hotels Ltd
JOLYPLS,Jolly Plastic Industries Ltd
PARMCOS-B,Paramount Cosmetics India Ltd
JINDHOT,Jindal Hotels Ltd
DESIFARMS,Desi Farms India Ltd
JPTRLES,Jupiter Industries & Leasing Ltd
SIMMOND,Simmonds Marshall Ltd
BNALTD,B & A Ltd
HAWKINCOOK,Hawkins Cookers Ltd
WARRENTEA,Warren Tea Ltd
COCHMAL,Cochin Malabar Estates & Industries Ltd
BESTEAST,Best Eastern Hotels Ltd
NEAGI,Neelamalai Agro Industries Ltd
ISTLTD,I S T Ltd
COSMOFIRST,Cosmo First Ltd
NEWMKTAVE,New Markets Avenue Ltd
APOLLOHOSP,Apollo Hospitals Enterprise Ltd
NITINCAST,Nitin Castings Ltd
NEXOME,Nexome Capital Markets Ltd
EVERESTIND,Everest Industries Ltd
IRONWOOD,Ironwood Education Ltd
MSRINDIA,Msr India Ltd
AYMSYNTEX,Aym Syntex Ltd
PANCARBON,Panasonic Carbon India Company Ltd
FINKURVE,Finkurve Financial Services Ltd
HBLEAS,Hb Leasing & Finance Company Ltd
SHRICON,Shricon Industries Ltd
SULABEN,Sulabh Engineers & Services Ltd
FRONTCAP,Frontier Capital Ltd
NAVNETEDUL,Navneet Education Ltd
KEDIACN,Kedia Construction Company Ltd
TRANOCE,Transoceanic Properties Ltd
AUSOMENT,Ausom Enterprise Ltd
THAKRAL,Thakral Services India Ltd
RUCHINFRA,Ruchi Infrastructure Ltd
GOLDLEG,Golden Legand Leasing & Finance Ltd
VJTFEDU,Vjtf Eduservices Ltd
VOLLF,Voltaire Leasing & Finance Ltd
NETLINK,Netlink Solutions India Ltd
TRILIANCE,Triliance Polymers Ltd
LANCORHOL,Lancor Holdings Ltd
INDINFO,Indian Infotech & Software Ltd
BANASFN,Banas Finance Ltd
VISAKAIND,Visaka Industries Ltd
INFOMEDIA,Infomedia Press Ltd
